/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/distributed/node.py:182: UserWarning: Port 8100 is already in use.
Perhaps you already have a cluster running?
Hosting the HTTP server on port 36181 instead
  warnings.warn(
/usr/lib/python3.10/multiprocessing/resource_tracker.py:224: UserWarning: resource_tracker: There appear to be 66 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
/home/administrador/sentinel/lib/python3.10/site-packages/rasterio/warp.py:344: NotGeoreferencedWarning: Dataset has no geotransform, gcps, or rpcs. The identity matrix will be returned.
  _reproject(
LocalCluster(ea61c766, 'tcp://127.0.0.1:35843', workers=11, threads=22, memory=11.39 GiB)
<Client: 'tcp://127.0.0.1:35843' processes=11 threads=22, memory=11.39 GiB>
INFO	2023-11-16 13:44:54	BULK	DOWNLOAD	START
INFO	2023-11-16 13:48:14	S2B_MSIL2A_20221126T151709_R125_T18MZC_20221130T201838	B11	END
INFO	2023-11-16 13:48:14	S2B_MSIL2A_20221126T151709_R125_T18MZC_20221130T201838	B12	START
INFO	2023-11-16 13:48:19	S2B_MSIL2A_20221126T151709_R125_T18MZC_20221130T201838	B12	END
INFO	2023-11-16 13:48:19	S2B_MSIL2A_20221126T151709_R125_T18MZC_20221130T201838	SCL	START
INFO	2023-11-16 13:48:23	S2B_MSIL2A_20221126T151709_R125_T18MZC_20221130T201838	SCL	END
INFO	2023-11-16 13:48:23	S2B_MSIL2A_20221126T151709_R125_T18MZC_20221130T201838	SCENE	DONE
INFO	2023-11-16 13:48:23	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	SCENE	FOUND
INFO	2023-11-16 13:48:23	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	SCENE	DOWNLOAD
INFO	2023-11-16 13:48:23	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B02	START
INFO	2023-11-16 13:48:51	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B02	END
INFO	2023-11-16 13:48:51	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B03	START
INFO	2023-11-16 13:49:19	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B03	END
INFO	2023-11-16 13:49:19	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B04	START
INFO	2023-11-16 13:49:47	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B04	END
INFO	2023-11-16 13:49:47	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B05	START
INFO	2023-11-16 13:50:06	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B05	END
INFO	2023-11-16 13:50:06	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B06	START
INFO	2023-11-16 13:50:22	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B06	END
INFO	2023-11-16 13:50:22	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B07	START
INFO	2023-11-16 13:50:37	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B07	END
INFO	2023-11-16 13:50:37	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B08	START
INFO	2023-11-16 13:51:06	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B08	END
INFO	2023-11-16 13:51:06	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B11	START
INFO	2023-11-16 13:51:24	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B11	END
INFO	2023-11-16 13:51:24	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B12	START
INFO	2023-11-16 13:51:42	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	B12	END
INFO	2023-11-16 13:51:42	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	SCL	START
INFO	2023-11-16 13:51:47	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	SCL	END
INFO	2023-11-16 13:51:47	S2B_MSIL2A_20230201T150719_R082_T18NZG_20230202T063816	SCENE	DONE
INFO	2023-11-16 13:51:48	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	SCENE	FOUND
INFO	2023-11-16 13:51:48	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	SCENE	DOWNLOAD
INFO	2023-11-16 13:51:48	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B02	START
INFO	2023-11-16 13:52:14	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B02	END
INFO	2023-11-16 13:52:14	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B03	START
INFO	2023-11-16 13:52:43	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B03	END
INFO	2023-11-16 13:52:43	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B04	START
INFO	2023-11-16 13:53:10	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B04	END
INFO	2023-11-16 13:53:10	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B05	START
INFO	2023-11-16 13:53:27	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B05	END
INFO	2023-11-16 13:53:27	S2B_MSIL2A_20230201T150719_R082_T18NZH_20230202T105538	B06	START
