199985.0	800035.0	B08	4232.0
199985.0	800025.0	B08	4332.0
199985.0	800015.0	B08	4388.0
199985.0	800005.0	B08	3874.0
199985.0	799995.0	B08	4184.0
199985.0	799985.0	B08	4156.0
199985.0	799975.0	B08	4244.0
199985.0	799965.0	B08	3678.0
199985.0	799955.0	B08	3630.0
199985.0	799945.0	B08	4200.0
199995.0	800035.0	B08	4312.0
199995.0	800025.0	B08	4352.0
199995.0	800015.0	B08	4020.0
199995.0	800005.0	B08	3698.0
199995.0	799995.0	B08	4244.0
199995.0	799985.0	B08	4620.0
199995.0	799975.0	B08	4496.0
199995.0	799965.0	B08	4504.0
199995.0	799955.0	B08	4484.0
199995.0	799945.0	B08	4332.0
